leader,epoch,num_slots
3WDh9HgusCujDmXCVhophLrHvoKHQd1Sd4uFHz1Awo35,668,60
2oHzvvTsW5A2pLpyUSiT5P19CCvE81RAtSgWQXu6x9b8,668,40
3SPWc958ZcKXvbbBtD2YPBt75c5hkE3JfmTnyVViZ9yi,668,40
BM2vE2QqkB9fGtC34WPtM8drbgta13SBkhRq6dRG9J4J,668,24
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,668,4552
6JKwz43wDTgk5n8eNCJrtsnNtkDdKd1XUZAvB9WkiEQ4,668,1768
5cQ27F39MuLu3ZHSyuTBxu9xaarnxezAAiLuyf1FCL2W,668,180
4kpGkEypMTgqSDh5GEQa2YZdiHsnPse2L2G7fPQS2Fvg,668,40
67joanjyAoVmb9nZLyX8p3Gx9tAxzXaUgHDe3kaUH4wf,668,152
5B1eeUcVsdX1GQPxeipE6MXaQZwGAWNEWCTPWXqVL2j9,668,40
5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,668,196
7U68WfpxJF5W1HjVQ2NCQr5EuKhNSvSRAnmWTk6225Jf,668,32
AB169wapzUT6SRh31RJoRjiwR4bifF2eDkkDiFjnyRCJ,668,16
GYZdxwPwV3wTFVC8DdZuJQZDDRCg45AtqUai8cpSyAga,668,36
gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN,668,48
BEx3ZzH9cswWcJr3BcKg37rRURHmZPW98XY3RkXDprN4,668,40
5tFvFBWUPt94HQuZyMSuHnpcHrjMPLrTg8WBbv9G5VqU,668,16
A3ns6dsP1nsSQL8vxL9DRN7YYSGYLnQi4r9MnySY62NB,668,40
6cgNsURNykJ8H7eLQu7XbLZCAc2yrCFgkfWaEWHYHXDb,668,44
LodeuWMHPiPj2PUHUyca2bkpFv9HyzR3gaDBmGJ9TSS,668,240
72i2Cdw5aa1S11uDvhfZVGGtAW8FbyxaBRN58hQqaSMn,668,224
ChaossRPGKnsVhX1GfPC78yq5Sqju4cMThcAsKZNz5d6,668,4
BPKAfGkkzF5u1QRjjB1nWYYbPMUCMPJe1xZPmwEMNMCT,668,248
TJxW8fs18KgZp1G4ghMkR5GsxdiKMbgpan4weFThaQ5,668,40
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,668,192
5Zaup4jLNz173kiCavaoDqqA6hcKwxQMeAmXTDk1Mvus,668,40
Csgy8jXn6feooV3ztGPhuwCcneWhFFBFCmKZSBwXK7VV,668,160
HwdfNWCqP2vXRvaHqQhoVUM2uPndaY8DDJzzBxCoPNHU,668,56
W1FAbXyQJ5iPghy12TqPktwobU5kTD73ZjA6QZCvsRp,668,20
CcTtRsmLJEjqsv5iyfXSYwjaUJdfrRK7AU9cHMnQfTb3,668,140
8fxC38heuNyaTTwFQWR71Fet6W3cXFpysMqhGAz9inCL,668,100
CF4XtqQ4ZzjfWeWF4uBcmFYZ7nUGJZ9GCoyFnhdgbPkB,668,64
3sEWErVW8kK2frAk1KZQ5p3YZt1vzL6Pb6dTZJRVSPpz,668,28
5tfcGyf3NQFcufDigvbRt9kWoVN2KPEkBRUY3UaC3Zwm,668,504
8n9KRHDRDuZErZwdwzhtsTFJxmHqgCQ4ddZcdk6GMzvQ,668,32
AbYTBTXdZwvG4Efdu2LR2fd8hfXEzZgfgLL67p632tCi,668,36
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,668,3276
A6ZmvWcKGVUnwpum4GhVn7CftUJgVFNSg6biedaNKHBC,668,24
HU8uKcH8b2GRD5T2LYKDzV82H7CiRLTQLwYTNxAD7b62,668,56
A7o83UHeHCXuExxGscdj6bZWs5bW1RhUw847ntbwX7Di,668,36
4rXCssbNbfGjPH727pBJXix3DPy47PN3ZVGMERdZQQ3D,668,4
BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,668,2916
TahoeMHorTATHYXCsKhG1jp5gVoSp6kKKibET7wEbcX,668,40
8Xtk4LxTyqJQ3kMnpJBcrtpMy5gFHP9tsGUZHtUK1wpt,668,56
ANTmwMfoBzEk31Rw8e11nLRvDgzWEVEMGUUy1v9fdRxV,668,36
9Xm2WtKW1tEpY5wxKZD9XbAmojHGGtjiGeM3LotYT1Z9,668,48
4daH8Aotxpk68HsMvws3P5AQL3F1gVTA44jqLaB2GuGx,668,40
8ZvC5d39VKnz4UUJV928s76Mv7FdSbX5WwHCuCFAanj3,668,276
2tKR4mX7LzhjfdNsR6HfBaDDh2RM3wdpUrJqUU42aJTc,668,52
9oGWd4zHcRjrXpoPccu9UsnUEEva9bkcT8qZuH4ZKVAc,668,24
AXhtto26sYhU2aEvN4mHCZexGXTjK64Yd51f3bEpWtfx,668,40
CTVerjk67TbCeFwAcP8hsMYNqnvDbg9QkdLhXH7csZX7,668,44
D35AyoGVA3GsQLgFs3opXBEuvW6EdNuYGSfEDxpsDojU,668,32
9yTjjM9c8TnJ7ouVeDvJnXMYfmhhpfVEHhvAnt1SrV3i,668,40
4mopxYfAN5crk4MT7pSCLL754Xo1V678wLX9wDFJTpvD,668,40
C8H7mCWTYDX3LJUgAH5hqmVUQAwdAyHpybTZgvfCJDaM,668,36
Dmndrr4ovTS7zNJrWiAhqc7K4eJNw1kS9kPm3eWuu1bD,668,76
3yrgchivxUEdz3qAAx3X7vfrFLerPMJsLTEMwJyqvy7h,668,16
8U1oTx4EvAgqesgaemAzpwrJsysUHEg8bBQ7Kdbp1W5X,668,76
4FdHhNNGYnSfH6NgghRxYonbs5ugS7FWuvyCmFe4Z99p,668,28
9FXD1NXrK6xFU8i4gLAgjj2iMEWTqJhSuQN8tQuDfm2e,668,180
63sJMcjh8r7W1oXjrNZrG4nc4UX6cQVonUHp9vGDUNdW,668,64
5JQ3zhHqFdxSLTAturANGsH9aPejugD7L9Zd1AG644VU,668,28
HNcSu8SVg4fuRyM3XV255totbTe6NPGhPSApzxn4V5Jx,668,36
AptafqHRpGk3KCQrGtuPGuPvWMuPc4N15X7NN7VUsfbd,668,40
DViARWAWKkxAzp4UCgbw5B9pLSrBY3PaztFErcwgVUKX,668,224
6xct3c93fs7s8Dm5j3rVabTDZD7ahtwFDTzydpFTuiEn,668,44
9cS2cDhLmRoUCqkhMjXZs4HC1YYbP5QYweCP3vVqodcb,668,40
Bkucd9XTD2geqNsgcbMcqsSnLhqfHUuDvAUSGCXsJBdK,668,112
AYNvSS5XV23ezdUBUzMjrZoGpmDibADE7P3edS4wNKAv,668,32
