decimals,volume24hUSD,price24hChangePercent,address,fdv,liquidity,marketcap,name,rank,price,symbol,ts,volume24hChangePercent,logoURI
6,808.1581765605289,-6.280278314757037,6n7Di1BC7DSuVd458AFdU35Ypb5f4btXFYGRwnePpump,3841.4258707551803,3841.329489482473,3841.4258707551803,MAGASOLANA,965,3.841425870784026e-06,MAGASOLANA,1741096802,,https://ipfs.io/ipfs/QmPtmbSWXGsFrkdXDA26twtLA8hv57f6LCqQcjCcKysBMc
6,3337.9814038134464,-6.309264267328816,CGeD3zdsbddqhghKUCCwXS1D9Va2t7dWWS7uKPDWpump,4105.304288701535,4104.847195795403,4105.304288701535,most popular lion in Japan,964,4.105304288701535e-06,ライオ,1741096802,,https://ipfs.io/ipfs/QmP8bXwMPKZh35sGAMwiDXVpctbLDYRynTR2V9NhRqBcgF
6,16940.05960278865,-7.573111560101299,AqqhSwhKdrmJSSoW84cxNxdEHorNrG9NWbGoy8sLpump,3918.326212952424,3916.4476558527954,3918.326212952424,Fat Protocol Thesis,963,3.918974501196231e-06,FPT,1741096802,-100,https://ipfs.io/ipfs/QmXff7EKHcGBWrBKE66wfs3yHkBrSxyzCGwKmq9nY5ouEe
6,1597.777153101517,-7.6995113832768745,C8V2WNkSPEvAR9zW4J1sunkX6qZJGJAGH1Z8niYJpump,3839.573278888833,3842.4834806180575,3839.573278888833,NOSANA,962,3.839573278925628e-06,NOSAI,1741096802,,https://ipfs.io/ipfs/Qme4sj1oc6nnrK2QkLN7jKZz9F94o8RdAYA5MjaDWmepLj
6,1316.3434424853222,-5.01814088698772,BXzHhv6TZvbWmDYAdoDQ7MZwwoYTMhPrmAo4BNZPpump,3854.003008620408,3853.8971506587054,3854.003008620408,TRIMP ,961,3.854003009005808e-06,TRIMP ,1741096802,,https://ipfs.io/ipfs/QmVjeh6ndzxCqy2iAeM7MrJQ6VHX8bSEY7fo7XL6mKDgv4
6,3232.6969556888034,-4.990741366708682,8woiXFLAE2AkrR87w4qcwtwtuQ9vdHybkEsbWn2tpump,3822.5828408456828,3822.736095251771,3822.5828408456828,i sniff a sendorrr,960,3.822582840845683e-06,snifdorrr,1741096802,,https://ipfs.io/ipfs/QmNnQkwmm1F96QCCsNhBbmiLQUp8pZ5WQ7A3pkLnBB4UrY
6,2327.868028503913,-7.0972885678278805,7Z8WD1cuMTH5tX6zEBr2JXoeW7tSvwc25TT6gakYpump,3813.6784199371655,3838.3712761827733,3813.6784199371655,Pwease Index 500,959,3.8136784199371655e-06,PI500,1741096802,,https://ipfs.io/ipfs/QmdVSydYVL973KesgZGP9B7uG7i1TZE12JYMWjNotWLB4s
6,3007.7767539863353,-6.1260325596316765,D9ZZe1q1QraQQq3TNgTpN5JRHs4WYNjHTDnT5NRypump,3861.445718504018,3864.8918992653216,3861.445718504018,ORANGIE,958,3.861445718504018e-06,I'm LIVE,1741096802,,https://ipfs.io/ipfs/QmdschXvbJ8wwkhZAaPfF5A9byKHGViw7fcEj2tk6K77jd
6,1455.9028481214075,-4.996669572606667,4JFLJSRx3cyVEfGPMvN864eEfxwNAtdLkVFXvx5Fpump,3836.1190947114387,3836.3670535413426,3836.1190947114387,U.S. cryptocurrency reserves,957,3.836119094711439e-06,U.S. CR,1741096802,,https://ipfs.io/ipfs/QmTTxjner1UUYWggX1mcZhwhC7u4yngUUGquLUM8VHoNDx
6,5845.144296984681,-28.605984852876453,A4fATsx45i4TQqyi4YJMwG35uRHKmyhft4eCPksMpump,3912.04323436747,5288.256142174035,3912.04323436747,SNUBI FROG,956,3.912043234369712e-06,SNUBI,1741096802,,https://ipfs.io/ipfs/QmTLovmBn1s6RRpZ3vwoc7cDvYqpT5CkJeU2AgJf4gQac9
6,1271.0487823010005,-9.970135513178674,GEhEUmxzmAdwBkyH1UyTQiN4SJmWRipDS3XfjEvppump,3835.9997191775037,4116.330943844406,3835.9997191775037,EAGLE,955,3.8359997191827284e-06,EAGLE,1741096802,,https://ipfs.io/ipfs/QmZ222LzxsGudBkKCj7KPR3KzT7EYKWfLkwMM15FPneYmW
6,106.8826325510806,-0.35100831962662743,6cASKQWYcUGAPsexHtzfchMEv2U7u1varukc4RhM59tj,3911.236429343082,3911.447326382023,3911.236429343082,STUN ZEED,954,3.911281330100064e-06,STUNZEED,1741096802,125461209508129920,https://cf-ipfs.com/ipfs/QmWqbhStLtW8YtAUYtLAFKh5bXaKAoaY3d4sPdaSEPwGGJ
6,3092.454753742282,-7.706122094069186,5TDqxMhfp3XUf5aWG9aJbkwNnzZqEjoRm3FXqdUypump,3820.066649136532,3884.707272575209,3820.066649136532,#1 TikTok Pwease Dog,953,3.820066649136532e-06,NOLA,1741096802,,https://ipfs.io/ipfs/QmZmusigt9hLJh4mCqFvgYQf7PZYhdDfoQxGghs4GyGFdW
6,2671.3857063814385,-9.091246521975242,Cm5Rdk5dsmjN2tT7AQ6GLSGj1j2iKMYNyhkdXFsPpump,3820.660741420795,3824.288242488139,3820.660741420795,bonvagon,952,3.820660741420799e-06,bon,1741096802,,https://ipfs.io/ipfs/QmSk8dEKPrEkuT9e5E3A23TsRBGQt7isZwf6Nz9H9ArMNj
6,1236.0099016449497,-0.17645243932482368,8TNgwA8or3zj6BrtFF8VeAguDyLPqToQjh2WUZ2Mpump,3798.5883309117708,3800.9045535975406,3798.5883309117708,PEPE VS BANANA,951,3.7985883309117706e-06,PVB,1741096802,,https://ipfs.io/ipfs/Qmbjw7VhcP1bXcdpLRb6WUBSXTJfYpFjPS2tQ7CcTfh3pL
6,7257.32803789036,-1.8972506237902946,6YwSxA6GayY5UfdqYuzpjoiA3SUKNWnNN9YdngTZpump,3862.484588918082,3862.6946747055513,3862.484588918082,BWITCOIN,950,3.8624889193610215e-06,BWTC,1741096802,,https://ipfs.io/ipfs/QmdK4mhPUmY6FfXV6V62Sh9e58XSFSgxYTKscn9oqf6Hp8
6,1153.8203054746523,-6.153865457707574,6SF57tvrJE3LpqXPmPvNzsH6smRnzU75Xm55SEJ5pump,3809.1750557475066,3805.352164938976,3809.1750557475066,Standing Cat,949,3.80917505574751e-06,SCAT,1741096802,,https://ipfs.io/ipfs/QmUHkQqMosCNUosi7CBUa79dyRyezJKJUJVuN7mgrBukYz
9,188.60021993048866,-10.049179626302042,BoA11spg3qUqAiqdxXvy3ueSNjKp2k4imYxw83e5WFPy,4994.525293017455,5376.207875308315,4994.525293017455,Draconium,948,8.388254873401024e-07,DRAC,1741096802,-42.26588835492784,https://gateway.irys.xyz/H0QNc_00jqzlBjJqC4qcAqfVgjDiW0afxrcyVliorEs
6,1545.2738078845118,-0.45101830617963223,4Mf18AsNtDRRE9G1iHWL5R87A5aiLKZagTeXNenopump,3803.1163542397107,3803.3180350292455,3803.1163542397107,Singletree_EU,947,3.8031163542397106e-06,singletree,1741096802,,https://ipfs.io/ipfs/QmYgZ8DmG8pwM9P7eFMeeE44e4ecwjnZsbiDgc8dtX5Nzp
6,3759.426194881924,-4.87430526695412,FSQHXCMvRND49ewLZwfNvVeE1i6uZrLjpzJyyQaH1j1a,3918.8591810314983,3919.3739013896266,3918.8591810314983,mistew pwesident,946,3.9188591810314985e-06,MP,1741096802,,https://metadata.pumplify.eu/data/QmPXWjcpWc46B8prkt3JQskYZQV156LUdEfhyYNDCxzuRi
6,1112.4386412340511,-7.506844895295387,Fn127CNndFav27zeNjR5oE7LaRUAuMCxzzR7Dv7Vpump,3779.8675900992685,3801.7172521988477,3779.8675900992685,Dong,945,3.7798675901001794e-06,Dong,1741096802,,https://ipfs.io/ipfs/QmS1hzSKgtzRLxQsBYirzrTRzq5BfQkEebDBc2WFKFsjfh
6,685.9263571835179,8.41112298228694,c9AvHka2aF8fU8Cd4wLHvpL5FMNBRVYSWEi7ASKpump,4445.8844319056,4436.731358912085,4445.8844319056,Hover Owl,944,4.445884431905599e-06,HOO,1741096802,,https://ipfs.io/ipfs/QmUyndYU6t7ubV1EFF4GsKbpjD7bqpHwjQiQm6zEMpHVxH
6,16006.831956547681,-7.819916136238786,3ESukT4X7hNtjKqpjFCW6oinQM8iEyaT3eFFxCKspump,3878.874844030199,3878.455769895146,3878.874844030199,$MSGAG,943,3.878875798017057e-06,SOLANA ,1741096802,,https://ipfs.io/ipfs/QmSQdCkBd3YTvJmbeW91jRpZeBAnDiwRzWQtk7hrfA12kR
6,1793.5393415911508,-5.99812461990136,Hg1pxftqY4pXGt8cy7ZHg58xyUN7mc2LioYQ9c6vpump,3785.419097495771,3856.3481735218147,3785.419097495771,Bitch pwease,942,3.785419097495771e-06,bipwease,1741096802,,https://ipfs.io/ipfs/QmbuWsphdXdB2tjbsvCUY7pmcMoBHFocZZPK7ZrxJVPT1i
6,1360.6798389643357,-14.407213088931563,X3RqzvixHaXkyG5Q2pGh2SED6MA3VJEZHiBbvympump,3813.6992689948834,3813.8642473181726,3813.6992689948834,First Psychic Dog,941,3.8136992689948833e-06,Bosley,1741096802,,https://ipfs.io/ipfs/QmZnp9we1GJcoHeaCUWghRZ8q8NntKCn3oUBeMscrG7WDA
